generacja;koszt_scierzki
1;23845
2;23211
3;23061
4;22587
5;22219
6;21640
7;21274
8;21274
9;20999
10;20803
11;20425
12;20425
13;20076
14;19602
15;19259
16;19071
17;18614
18;18614
19;18185
20;18185
21;18185
22;17675
23;17675
24;17675
25;17532
26;17173
27;16899
28;16576
29;16568
30;16381
31;16353
32;16136
33;15857
34;15857
35;15814
36;15618
37;15579
38;15432
39;15395
40;15248
41;15054
42;15054
43;14972
44;14872
45;14816
46;14661
47;14661
48;14541
49;14541
50;14441
51;14371
52;14086
53;14086
54;14086
55;14023
56;14023
57;13978
58;13978
59;13895
60;13881
61;13786
62;13717
63;13651
64;13628
65;13547
66;13442
67;13228
68;13228
69;13228
70;13070
71;13070
72;12957
73;12912
74;12786
75;12654
76;12613
77;12485
78;12393
79;12239
80;12149
81;12149
82;12122
83;12036
84;11950
85;11916
86;11778
87;11778
88;11751
89;11693
90;11693
91;11546
92;11396
93;11396
94;11348
95;11229
96;11107
97;11075
98;11038
99;10939
100;10939
101;10799
102;10710
103;10710
104;10596
105;10535
106;10535
107;10533
108;10425
109;10340
110;10340
111;10250
112;10250
113;10215
114;10104
115;10096
116;10096
117;9932
118;9842
119;9842
120;9790
121;9787
122;9698
123;9629
124;9629
125;9547
126;9547
127;9547
128;9522
129;9481
130;9382
131;9381
132;9310
133;9307
134;9204
135;9194
136;9085
137;9085
138;8981
139;8981
140;8934
141;8746
142;8746
143;8746
144;8640
145;8640
146;8616
147;8458
148;8458
149;8442
150;8379
151;8371
152;8312
153;8298
154;8200
155;8200
156;8186
157;8159
158;8124
159;7917
160;7917
161;7917
162;7869
163;7848
164;7799
165;7799
166;7795
167;7794
168;7709
169;7709
170;7689
171;7689
172;7664
173;7634
174;7587
175;7570
176;7541
177;7454
178;7409
179;7409
180;7281
181;7281
182;7281
183;7218
184;7141
185;7141
186;7141
187;7114
188;7044
189;6988
190;6956
191;6952
192;6917
193;6917
194;6900
195;6873
196;6859
197;6859
198;6844
199;6818
200;6818
201;6798
202;6767
203;6720
204;6706
205;6665
206;6588
207;6588
208;6588
209;6522
210;6522
211;6504
212;6500
213;6500
214;6458
215;6458
216;6458
217;6444
218;6404
219;6404
220;6378
221;6339
222;6339
223;6339
224;6328
225;6289
226;6261
227;6261
228;6211
229;6211
230;6153
231;6153
232;6147
233;6147
234;6113
235;6113
236;6113
237;6096
238;6080
239;6080
240;6080
241;6062
242;6029
243;6028
244;6020
245;6020
246;6019
247;5987
248;5986
249;5986
250;5979
251;5979
252;5979
253;5967
254;5967
255;5967
256;5944
257;5944
258;5926
259;5926
260;5926
261;5907
262;5860
263;5860
264;5860
265;5853
266;5827
267;5827
268;5827
269;5819
270;5819
271;5799
272;5799
273;5756
274;5756
275;5748
276;5720
277;5720
278;5716
279;5698
280;5678
281;5678
282;5678
283;5678
284;5658
285;5658
286;5649
287;5649
288;5620
289;5604
290;5560
291;5560
292;5560
293;5524
294;5524
295;5510
296;5510
297;5489
298;5477
299;5474
300;5474
301;5451
302;5439
303;5433
304;5433
305;5421
306;5421
307;5415
308;5415
309;5396
310;5393
311;5393
312;5378
313;5378
314;5372
315;5364
316;5350
317;5350
318;5326
319;5326
320;5314
321;5296
322;5296
323;5296
324;5296
325;5296
326;5293
327;5279
328;5268
329;5263
330;5263
331;5251
332;5233
333;5221
334;5221
335;5219
336;5217
337;5217
338;5210
339;5195
340;5195
341;5195
342;5192
343;5192
344;5184
345;5184
346;5184
347;5184
348;5180
349;5180
350;5180
351;5180
352;5180
353;5180
354;5180
355;5180
356;5180
357;5180
358;5180
359;5180
360;5180
361;5180
362;5150
363;5150
364;5150
365;5150
366;5150
367;5150
368;5150
369;5142
370;5142
371;5142
372;5142
373;5142
374;5142
375;5142
376;5142
377;5142
378;5142
379;5142
380;5142
381;5142
382;5142
383;5142
384;5142
385;5142
386;5142
387;5142
