generacja;koszt_scierzki
1;7200
2;7200
3;7067
4;6971
5;6964
6;6895
7;6791
8;6771
9;6748
10;6640
11;6640
12;6593
13;6593
14;6589
15;6510
16;6510
17;6436
18;6382
19;6382
20;6347
21;6295
22;6230
23;6230
24;6216
25;6143
26;6096
27;6046
28;6046
29;6006
30;5970
31;5918
32;5898
33;5851
34;5823
35;5759
36;5745
37;5744
38;5729
39;5708
40;5690
41;5659
42;5598
43;5595
44;5528
45;5528
46;5467
47;5467
48;5467
49;5416
50;5416
51;5416
52;5389
53;5389
54;5338
55;5327
56;5276
57;5269
58;5269
59;5269
60;5261
61;5236
62;5231
63;5205
64;5184
65;5166
66;5166
67;5137
68;5115
69;5099
70;5081
71;5076
72;5039
73;5039
74;5039
75;5035
76;5017
77;5010
78;4990
79;4990
80;4990
81;4973
82;4959
83;4938
84;4900
85;4892
86;4879
87;4874
88;4860
89;4843
90;4818
91;4809
92;4794
93;4766
94;4752
95;4744
96;4716
97;4714
98;4713
99;4694
100;4680
101;4672
102;4645
103;4645
104;4638
105;4636
106;4633
107;4628
108;4577
109;4577
110;4577
111;4570
112;4555
113;4541
114;4541
115;4541
116;4541
117;4524
118;4524
119;4505
120;4503
121;4499
122;4494
123;4488
124;4480
125;4468
126;4468
127;4468
128;4460
129;4447
130;4442
131;4423
132;4421
133;4421
134;4421
135;4419
136;4414
137;4406
138;4406
139;4405
140;4396
141;4395
142;4394
143;4382
144;4375
145;4368
146;4365
147;4357
148;4346
149;4326
150;4326
151;4326
152;4326
153;4326
154;4326
155;4326
156;4324
157;4314
158;4307
159;4305
160;4295
161;4287
162;4287
163;4282
164;4274
165;4274
166;4261
167;4261
168;4253
169;4252
170;4247
171;4220
172;4220
173;4220
174;4220
175;4220
176;4202
177;4197
178;4197
179;4189
180;4174
181;4174
182;4174
183;4165
184;4161
185;4159
186;4152
187;4135
188;4134
189;4134
190;4128
191;4126
192;4120
193;4119
194;4114
195;4111
196;4109
197;4093
198;4091
199;4083
200;4083
201;4079
202;4079
203;4072
204;4067
205;4067
206;4047
207;4047
208;4047
209;4038
210;4038
211;4038
212;4026
213;4024
214;4016
215;4009
216;4009
217;4006
218;4006
219;4006
220;3999
221;3999
222;3999
223;3999
224;3997
225;3996
226;3996
227;3987
228;3983
229;3981
230;3981
231;3978
232;3970
233;3963
234;3963
235;3949
236;3949
237;3945
238;3937
239;3933
240;3933
241;3933
242;3933
243;3931
244;3930
245;3925
246;3924
247;3906
248;3906
249;3906
250;3904
251;3904
252;3894
253;3894
254;3891
255;3883
256;3878
257;3878
258;3875
259;3865
260;3863
261;3863
262;3863
263;3852
264;3841
265;3841
266;3841
267;3841
268;3831
269;3829
270;3821
271;3814
272;3814
273;3814
274;3805
275;3803
276;3798
277;3793
278;3793
279;3781
280;3772
281;3772
282;3772
283;3769
284;3762
285;3752
286;3752
287;3752
288;3752
289;3750
290;3740
291;3740
292;3729
293;3728
294;3728
295;3721
296;3721
297;3713
298;3713
299;3713
300;3707
301;3707
302;3707
303;3701
304;3697
305;3691
306;3691
307;3688
308;3688
309;3688
310;3680
311;3680
312;3680
313;3669
314;3664
315;3664
316;3664
317;3662
318;3659
319;3659
320;3654
321;3652
322;3652
323;3652
324;3638
325;3636
326;3636
327;3630
328;3630
329;3630
330;3620
331;3619
332;3610
333;3610
334;3610
335;3602
336;3602
337;3602
338;3602
339;3599
340;3589
341;3589
342;3575
343;3575
344;3562
345;3562
346;3562
347;3562
348;3556
349;3556
350;3556
351;3553
352;3549
353;3546
354;3546
355;3544
356;3537
357;3530
358;3530
359;3524
360;3522
361;3512
362;3512
363;3512
364;3510
365;3508
366;3502
367;3498
368;3498
369;3494
370;3489
371;3478
372;3478
373;3473
374;3473
375;3469
376;3469
377;3469
378;3463
379;3463
380;3463
381;3463
382;3460
383;3459
384;3459
385;3455
386;3449
387;3449
388;3449
389;3449
390;3445
391;3444
392;3422
393;3422
394;3422
395;3422
396;3422
397;3418
398;3418
399;3417
400;3417
401;3417
402;3411
403;3411
404;3411
405;3394
406;3394
407;3394
408;3388
409;3388
410;3388
411;3383
412;3382
413;3381
414;3374
415;3365
416;3365
417;3365
418;3365
419;3365
420;3365
421;3357
422;3357
423;3357
424;3357
425;3349
426;3349
427;3349
428;3345
429;3341
430;3341
431;3333
432;3333
433;3333
434;3332
435;3332
436;3328
437;3323
438;3321
439;3321
440;3321
441;3317
442;3317
443;3312
444;3312
445;3303
446;3303
447;3303
448;3298
449;3294
450;3294
451;3294
452;3293
453;3287
454;3287
455;3287
456;3287
457;3281
458;3281
459;3280
460;3279
461;3276
462;3271
463;3271
464;3261
465;3256
466;3255
467;3255
468;3248
469;3247
470;3240
471;3237
472;3237
473;3236
474;3236
475;3229
476;3224
477;3224
478;3220
479;3218
480;3218
481;3214
482;3214
483;3213
484;3212
485;3209
486;3198
487;3198
488;3198
489;3198
490;3195
491;3193
492;3190
493;3190
494;3189
495;3188
496;3178
497;3178
498;3178
499;3174
500;3171
501;3171
502;3162
503;3162
504;3152
505;3152
506;3152
507;3152
508;3152
509;3147
510;3139
511;3139
512;3139
513;3139
514;3137
515;3135
516;3127
517;3127
518;3125
519;3125
520;3121
521;3121
522;3120
523;3117
524;3117
525;3117
526;3111
527;3111
528;3109
529;3102
530;3102
531;3102
532;3101
533;3101
534;3101
535;3101
536;3097
537;3097
538;3095
539;3095
540;3095
541;3091
542;3091
543;3086
544;3086
545;3086
546;3086
547;3085
548;3084
549;3080
550;3079
551;3075
552;3074
553;3070
554;3070
555;3066
556;3063
557;3058
558;3058
559;3048
560;3048
561;3048
562;3047
563;3042
564;3042
565;3038
566;3038
567;3038
568;3035
569;3035
570;3035
571;3032
572;3029
573;3029
574;3024
575;3024
576;3024
577;3020
578;3020
579;3018
580;3015
581;3015
582;3009
583;3009
584;3008
585;3007
586;3005
587;2998
588;2992
589;2990
590;2990
591;2989
592;2989
593;2982
594;2982
595;2979
596;2979
597;2979
598;2975
599;2966
600;2966
601;2966
602;2963
603;2961
604;2960
605;2960
606;2960
607;2956
608;2952
609;2951
610;2951
611;2951
612;2946
613;2946
614;2944
615;2942
616;2942
617;2942
618;2942
619;2938
620;2938
621;2935
622;2935
623;2931
624;2931
625;2931
626;2927
627;2927
628;2925
629;2925
630;2922
631;2922
632;2922
633;2920
634;2920
635;2920
636;2916
637;2916
638;2910
639;2906
640;2906
641;2906
642;2906
643;2902
644;2901
645;2898
646;2896
647;2894
648;2891
649;2891
650;2891
651;2891
652;2883
653;2883
654;2883
655;2880
656;2874
657;2874
658;2874
659;2868
660;2862
661;2862
662;2862
663;2861
664;2861
665;2860
666;2860
667;2860
668;2859
669;2856
670;2856
671;2856
672;2856
673;2856
674;2855
675;2853
676;2853
677;2853
678;2845
679;2845
680;2845
681;2845
682;2843
683;2843
684;2843
685;2843
686;2842
687;2841
688;2841
689;2841
690;2841
691;2840
692;2840
693;2837
694;2837
695;2837
696;2837
697;2837
698;2837
699;2836
700;2832
701;2832
702;2832
703;2830
704;2829
705;2829
706;2829
707;2825
708;2825
709;2825
710;2825
711;2823
712;2821
713;2821
714;2821
715;2820
716;2820
717;2816
718;2816
719;2816
720;2814
721;2814
722;2814
723;2814
724;2810
725;2810
726;2810
727;2810
728;2810
729;2810
730;2807
731;2807
732;2807
733;2806
734;2806
735;2802
736;2802
737;2802
738;2797
739;2790
740;2790
741;2790
742;2790
743;2790
744;2788
745;2786
746;2786
747;2786
748;2786
749;2786
750;2781
751;2781
752;2778
753;2777
754;2777
755;2777
756;2777
757;2775
758;2771
759;2771
760;2771
761;2771
762;2771
763;2763
764;2763
765;2761
766;2761
767;2761
768;2759
769;2757
770;2753
771;2753
772;2753
773;2753
774;2743
775;2743
776;2743
777;2743
778;2737
779;2737
780;2737
781;2737
782;2728
783;2728
784;2728
785;2728
786;2728
787;2726
788;2722
789;2722
790;2722
791;2722
792;2720
793;2720
794;2718
795;2718
796;2717
797;2717
798;2717
799;2717
800;2716
801;2716
802;2715
803;2715
804;2713
805;2713
806;2713
807;2711
808;2711
809;2711
810;2711
811;2711
812;2711
813;2710
814;2710
815;2710
816;2710
817;2709
818;2702
819;2702
820;2702
821;2697
822;2697
823;2697
824;2697
825;2697
826;2697
827;2695
828;2695
829;2695
830;2695
831;2695
832;2689
833;2689
834;2689
835;2687
836;2687
837;2687
838;2687
839;2683
840;2683
841;2683
842;2683
843;2681
844;2681
845;2681
846;2679
847;2677
848;2677
849;2675
850;2675
851;2675
852;2673
853;2673
854;2671
855;2669
856;2669
857;2667
858;2667
859;2667
860;2664
861;2664
862;2663
863;2663
864;2663
865;2663
866;2656
867;2656
868;2656
869;2656
870;2656
871;2656
872;2656
873;2656
874;2656
875;2656
876;2656
877;2656
878;2656
879;2656
880;2656
881;2654
882;2654
883;2654
884;2654
885;2654
886;2652
887;2652
888;2652
889;2652
890;2652
891;2652
892;2652
893;2648
894;2648
895;2648
896;2648
897;2646
898;2646
899;2646
900;2644
901;2644
902;2644
903;2643
904;2643
905;2643
906;2643
907;2642
908;2642
909;2642
910;2642
911;2640
912;2640
913;2640
914;2640
915;2638
916;2638
917;2638
918;2638
919;2638
920;2637
921;2637
922;2637
923;2637
924;2637
925;2637
926;2637
927;2637
928;2637
929;2636
930;2636
931;2633
932;2633
933;2633
934;2633
935;2625
936;2625
937;2625
938;2625
939;2625
940;2625
941;2625
942;2625
943;2625
944;2620
945;2620
946;2620
947;2620
948;2619
949;2619
950;2619
951;2619
952;2619
953;2619
954;2619
955;2619
956;2619
957;2619
958;2618
959;2618
960;2618
961;2618
962;2618
963;2618
964;2618
965;2613
966;2613
967;2613
968;2613
969;2609
970;2609
971;2609
972;2608
973;2608
974;2608
975;2608
976;2599
977;2597
978;2597
979;2596
980;2596
981;2596
982;2596
983;2596
984;2596
985;2596
986;2596
987;2596
988;2596
989;2596
990;2596
991;2587
992;2587
993;2587
994;2587
995;2587
996;2587
997;2587
998;2587
999;2587
1000;2587
1001;2587
1002;2587
1003;2587
1004;2587
1005;2587
1006;2587
1007;2587
1008;2587
1009;2587
1010;2587
1011;2587
1012;2587
1013;2587
1014;2587
1015;2587
1016;2587
1017;2587
1018;2587
1019;2587
1020;2587
1021;2581
1022;2581
1023;2581
1024;2581
1025;2578
1026;2578
1027;2578
1028;2578
1029;2578
1030;2578
1031;2578
1032;2578
1033;2578
1034;2578
1035;2578
1036;2578
1037;2578
1038;2578
1039;2578
1040;2578
1041;2578
1042;2578
1043;2578
1044;2578
1045;2578
1046;2578
1047;2578
1048;2578
1049;2578
1050;2578
1051;2578
1052;2578
1053;2578
1054;2578
1055;2578
1056;2578
1057;2578
1058;2578
1059;2578
1060;2578
1061;2578
1062;2578
1063;2578
1064;2578
1065;2578
1066;2578
1067;2578
1068;2578
1069;2578
1070;2578
1071;2578
1072;2578
1073;2578
1074;2578
1075;2578
1076;2578
1077;2578
1078;2578
1079;2578
1080;2578
1081;2578
1082;2578
1083;2578
1084;2578
1085;2578
1086;2578
1087;2578
1088;2578
1089;2578
1090;2578
1091;2578
1092;2578
1093;2578
1094;2578
1095;2578
1096;2578
1097;2578
1098;2578
1099;2575
1100;2575
1101;2575
1102;2575
1103;2575
1104;2575
1105;2575
1106;2572
1107;2572
1108;2572
1109;2572
1110;2572
1111;2572
1112;2572
1113;2571
1114;2571
1115;2571
1116;2571
1117;2571
1118;2571
1119;2571
1120;2571
1121;2571
1122;2571
1123;2571
1124;2571
1125;2571
1126;2571
1127;2571
1128;2571
1129;2570
1130;2570
1131;2565
1132;2565
1133;2565
1134;2565
1135;2565
1136;2565
1137;2565
1138;2565
1139;2564
1140;2564
1141;2564
1142;2564
1143;2564
1144;2564
1145;2564
1146;2564
1147;2564
1148;2564
1149;2564
1150;2564
1151;2564
1152;2564
1153;2564
1154;2564
1155;2564
1156;2562
1157;2562
1158;2562
1159;2562
1160;2562
1161;2562
1162;2562
1163;2562
1164;2562
1165;2562
1166;2561
1167;2561
1168;2561
1169;2561
1170;2561
1171;2561
1172;2560
1173;2560
1174;2559
1175;2559
1176;2559
1177;2559
1178;2559
1179;2559
1180;2559
1181;2559
1182;2559
1183;2559
1184;2559
1185;2559
1186;2559
1187;2559
1188;2559
1189;2559
1190;2559
1191;2559
1192;2559
1193;2559
1194;2559
1195;2559
1196;2559
1197;2559
1198;2559
1199;2559
1200;2559
1201;2559
1202;2559
1203;2559
1204;2559
1205;2559
1206;2558
1207;2558
1208;2558
1209;2558
1210;2558
1211;2558
1212;2558
1213;2558
1214;2558
1215;2558
1216;2558
1217;2558
1218;2558
1219;2558
1220;2558
1221;2558
1222;2558
1223;2558
1224;2558
1225;2558
1226;2558
1227;2558
1228;2558
1229;2558
1230;2558
1231;2558
1232;2558
1233;2558
1234;2558
1235;2558
1236;2558
1237;2558
1238;2558
1239;2558
1240;2558
1241;2558
1242;2558
1243;2558
1244;2558
1245;2556
1246;2556
1247;2556
1248;2556
1249;2556
1250;2556
1251;2556
1252;2555
1253;2555
1254;2555
1255;2555
1256;2555
1257;2555
1258;2555
1259;2555
1260;2555
1261;2555
1262;2555
1263;2555
1264;2555
1265;2555
1266;2555
1267;2555
1268;2555
1269;2555
1270;2555
1271;2555
1272;2555
1273;2555
1274;2555
1275;2555
1276;2555
1277;2555
1278;2555
1279;2555
1280;2554
1281;2554
1282;2554
1283;2554
1284;2554
1285;2554
1286;2554
1287;2554
1288;2554
1289;2554
1290;2554
1291;2554
1292;2554
1293;2554
1294;2554
1295;2554
1296;2554
1297;2554
1298;2554
1299;2554
1300;2554
1301;2554
1302;2554
1303;2554
1304;2554
1305;2554
1306;2554
1307;2554
1308;2554
1309;2554
1310;2554
1311;2554
1312;2554
1313;2554
1314;2554
1315;2554
1316;2554
1317;2553
1318;2553
1319;2553
1320;2553
1321;2553
1322;2553
1323;2553
1324;2553
1325;2553
1326;2553
1327;2553
1328;2553
1329;2553
1330;2553
1331;2553
1332;2553
1333;2553
1334;2551
1335;2551
1336;2551
1337;2551
1338;2551
1339;2551
1340;2551
1341;2551
1342;2551
1343;2551
1344;2551
1345;2551
1346;2551
1347;2551
1348;2551
1349;2551
1350;2551
1351;2551
1352;2551
1353;2551
1354;2551
1355;2551
1356;2551
1357;2551
1358;2551
1359;2551
1360;2551
1361;2551
1362;2551
1363;2551
1364;2551
1365;2551
1366;2551
1367;2551
1368;2551
1369;2551
1370;2551
1371;2551
1372;2551
1373;2551
1374;2551
1375;2549
1376;2549
1377;2549
1378;2549
1379;2549
1380;2549
1381;2549
1382;2549
1383;2549
1384;2548
1385;2548
1386;2548
1387;2547
1388;2546
1389;2546
1390;2546
1391;2546
1392;2546
1393;2546
1394;2546
1395;2546
1396;2546
1397;2546
1398;2546
1399;2546
1400;2546
1401;2546
1402;2546
1403;2546
1404;2546
1405;2546
1406;2546
1407;2546
1408;2546
1409;2546
1410;2546
1411;2546
1412;2545
1413;2545
1414;2545
1415;2545
1416;2544
1417;2544
1418;2544
1419;2544
