generacja;koszt_scierzki
1;23087
2;22689
3;22689
4;22667
5;22179
6;21386
7;21223
8;21223
9;20993
10;20912
11;20486
12;20486
13;20154
14;19629
15;19629
16;19473
17;19274
18;19274
19;19101
20;18568
21;18568
22;18317
23;18317
24;18315
25;17858
26;17858
27;17850
28;17635
29;17292
30;17280
31;17126
32;16918
33;16790
34;16510
35;16067
36;15845
37;15845
38;15744
39;15718
40;15694
41;15462
42;15315
43;15315
44;15203
45;14966
46;14673
47;14673
48;14673
49;14567
50;14458
51;14357
52;14199
53;14199
54;14108
55;13976
56;13976
57;13691
58;13648
59;13520
60;13392
61;13319
62;13112
63;13112
64;13112
65;13112
66;12978
67;12950
68;12594
69;12594
70;12594
71;12594
72;12537
73;12537
74;12391
75;12386
76;12330
77;12254
78;12171
79;12160
80;12141
81;11867
82;11867
83;11839
84;11778
85;11676
86;11653
87;11397
88;11293
89;11293
90;11293
91;11293
92;11291
93;11170
94;11108
95;11094
96;10974
97;10974
98;10974
99;10966
100;10869
101;10869
102;10869
103;10799
104;10773
105;10721
106;10708
107;10708
108;10567
109;10564
110;10553
111;10484
112;10405
113;10298
114;10235
115;10168
116;10129
117;10095
118;10000
119;9947
120;9947
121;9873
122;9851
123;9711
124;9711
125;9645
126;9591
127;9583
128;9570
129;9536
130;9536
131;9449
132;9441
133;9441
134;9381
135;9381
136;9329
137;9329
138;9329
139;9201
140;9201
141;9172
142;9106
143;9075
144;9075
145;9075
146;9075
147;9071
148;9049
149;9007
150;9007
151;8956
152;8951
153;8890
154;8786
155;8786
156;8786
157;8786
158;8786
159;8786
160;8616
161;8616
162;8616
163;8616
164;8616
165;8616
166;8616
167;8616
168;8616
169;8582
170;8582
171;8548
172;8548
173;8491
174;8491
175;8489
176;8473
177;8439
178;8400
179;8350
180;8350
181;8333
182;8208
183;8208
184;8204
185;8182
186;8162
187;8121
188;8121
189;8121
190;8054
191;7996
192;7975
193;7935
194;7935
195;7906
196;7906
197;7881
198;7869
199;7869
200;7836
201;7834
202;7792
203;7767
204;7753
205;7703
206;7703
207;7673
208;7670
209;7670
210;7616
211;7614
212;7602
213;7581
214;7557
215;7554
216;7522
217;7508
218;7459
219;7456
220;7429
221;7418
222;7418
223;7371
224;7371
225;7371
226;7305
227;7305
228;7305
229;7293
230;7262
231;7240
232;7237
233;7174
234;7174
235;7170
236;7161
237;7125
238;7125
239;7105
240;7105
241;7064
242;7034
243;7030
244;7014
245;6995
246;6964
247;6954
248;6912
249;6881
250;6876
251;6837
252;6815
253;6815
254;6815
255;6815
256;6809
257;6776
258;6763
259;6763
260;6760
261;6743
262;6743
263;6739
264;6718
265;6686
266;6673
267;6633
268;6633
269;6619
270;6613
271;6610
272;6574
273;6553
274;6538
275;6538
276;6538
277;6483
278;6477
279;6460
280;6438
281;6438
282;6390
283;6389
284;6370
285;6370
286;6368
287;6368
288;6331
289;6309
290;6309
291;6288
292;6288
293;6270
294;6249
295;6217
296;6217
297;6205
298;6178
299;6178
300;6166
301;6166
302;6162
303;6119
304;6119
305;6107
306;6103
307;6070
308;6054
309;6054
310;6054
311;6035
312;6035
313;6008
314;6008
315;6008
316;6008
317;6008
318;5995
319;5988
320;5988
321;5988
322;5988
323;5976
324;5976
325;5958
326;5958
327;5958
328;5958
329;5946
330;5929
331;5929
332;5929
333;5913
334;5899
335;5899
336;5899
337;5877
338;5877
339;5877
340;5877
341;5877
342;5877
343;5828
344;5828
345;5828
346;5828
347;5828
348;5828
349;5802
350;5800
351;5800
352;5800
353;5800
354;5796
355;5796
356;5774
357;5768
358;5761
359;5761
360;5736
361;5729
362;5729
363;5697
364;5697
365;5697
366;5697
367;5697
368;5697
369;5693
370;5693
371;5684
372;5684
373;5684
374;5684
375;5680
376;5680
377;5680
378;5680
379;5680
380;5680
381;5680
382;5680
383;5680
384;5680
385;5680
386;5680
387;5679
388;5679
389;5679
390;5679
391;5679
392;5679
393;5679
394;5679
395;5679
396;5679
397;5679
398;5679
399;5679
400;5679
401;5679
402;5679
403;5679
404;5679
405;5679
406;5679
407;5679
408;5679
409;5679
410;5679
411;5679
412;5679
413;5679
414;5679
415;5679
416;5679
417;5679
418;5679
419;5679
420;5679
421;5679
422;5679
423;5679
424;5679
425;5679
426;5679
427;5679
428;5679
429;5679
430;5659
431;5659
432;5659
433;5659
434;5659
435;5659
436;5659
437;5659
438;5659
439;5659
440;5659
441;5659
442;5659
443;5659
444;5659
445;5659
446;5659
447;5659
448;5659
449;5659
450;5659
451;5659
452;5659
453;5659
454;5659
455;5659
456;5659
457;5659
458;5659
459;5659
460;5659
461;5659
462;5659
463;5659
464;5659
465;5659
466;5659
467;5659
468;5659
469;5659
470;5659
471;5659
472;5659
473;5659
474;5659
475;5659
476;5659
477;5659
478;5659
479;5659
480;5659
481;5659
482;5659
483;5659
484;5659
485;5659
486;5659
487;5659
488;5659
489;5659
490;5659
491;5659
492;5659
493;5659
494;5659
495;5659
496;5659
497;5659
498;5659
499;5659
500;5659
501;5659
502;5659
503;5659
504;5659
505;5659
506;5659
507;5659
508;5659
509;5659
510;5659
511;5659
512;5659
513;5659
514;5659
515;5659
516;5659
517;5659
518;5659
519;5659
520;5659
521;5659
522;5659
523;5659
524;5659
525;5659
526;5659
527;5659
528;5659
529;5659
530;5659
531;5659
532;5659
533;5659
534;5659
535;5659
536;5659
537;5659
538;5659
539;5659
540;5659
541;5659
542;5659
543;5659
544;5659
545;5659
546;5659
547;5659
548;5659
549;5659
550;5659
551;5659
552;5659
553;5659
554;5659
555;5659
556;5659
557;5659
558;5659
559;5659
560;5659
561;5659
562;5659
563;5659
564;5659
565;5659
566;5659
567;5659
568;5659
569;5659
570;5659
571;5659
572;5659
573;5659
574;5659
575;5659
576;5659
577;5659
578;5659
579;5659
580;5659
581;5659
582;5659
583;5659
584;5659
585;5659
586;5659
587;5659
588;5659
589;5659
590;5659
591;5659
592;5659
593;5659
594;5659
595;5659
596;5659
597;5659
598;5659
599;5659
600;5659
601;5659
602;5659
603;5659
604;5659
605;5659
606;5659
607;5659
608;5659
609;5659
610;5659
611;5659
612;5659
613;5659
614;5659
615;5659
616;5659
617;5659
618;5659
619;5659
620;5659
621;5659
622;5659
623;5659
624;5659
625;5659
626;5659
627;5659
628;5659
629;5659
630;5659
631;5659
632;5659
633;5659
634;5659
635;5659
636;5659
637;5659
638;5659
639;5659
640;5659
641;5659
642;5659
643;5659
644;5659
645;5659
646;5659
647;5659
648;5659
649;5659
650;5659
651;5659
652;5659
653;5659
654;5659
655;5659
656;5659
657;5659
658;5659
659;5659
660;5659
661;5659
662;5659
663;5659
664;5659
665;5659
666;5659
667;5659
668;5659
669;5659
670;5659
671;5659
672;5659
673;5659
674;5659
675;5659
676;5659
677;5659
678;5659
679;5659
680;5659
681;5659
682;5659
683;5659
684;5659
685;5659
686;5659
687;5659
688;5659
689;5659
690;5659
691;5659
692;5659
693;5659
694;5659
695;5659
696;5659
697;5659
698;5659
699;5659
700;5659
701;5659
702;5647
703;5647
704;5647
705;5647
706;5647
707;5647
708;5647
709;5647
710;5647
711;5647
712;5647
713;5647
714;5647
715;5647
716;5647
717;5647
718;5647
719;5647
720;5647
721;5647
722;5599
723;5599
724;5599
725;5599
726;5599
727;5599
728;5599
729;5599
730;5599
731;5599
732;5599
733;5599
734;5599
735;5599
736;5599
737;5599
738;5599
739;5599
740;5599
741;5599
742;5599
743;5599
744;5599
745;5599
746;5599
747;5599
748;5599
749;5599
750;5599
751;5599
752;5599
753;5599
754;5599
755;5599
756;5599
757;5599
758;5599
759;5599
760;5599
761;5599
762;5599
763;5599
764;5599
765;5599
766;5599
767;5599
768;5599
769;5599
770;5599
771;5599
772;5599
773;5599
774;5599
775;5599
776;5599
777;5599
778;5599
779;5599
780;5599
781;5599
782;5599
783;5599
784;5599
785;5599
786;5599
787;5599
788;5599
789;5599
790;5599
791;5599
792;5599
793;5599
794;5599
795;5599
796;5599
797;5599
798;5599
799;5599
800;5599
801;5599
802;5599
803;5599
804;5599
805;5599
806;5599
807;5599
808;5599
809;5599
810;5599
811;5599
812;5599
813;5599
814;5599
