generacja;koszt_scierzki
1;23528
2;23528
3;23193
4;22808
5;22605
6;22216
7;22119
8;21893
9;21347
10;21347
11;20452
12;20452
13;20452
14;20000
15;20000
16;19588
17;19541
18;19334
19;19262
20;19167
21;19086
22;18757
23;18644
24;18544
25;18459
26;18068
27;17706
28;17531
29;17531
30;17491
31;17413
32;17168
33;16697
34;16697
35;16697
36;16644
37;16543
38;16409
39;16291
40;15979
41;15979
42;15979
43;15875
44;15268
45;15268
46;15268
47;15108
48;15104
49;14976
50;14885
51;14748
52;14614
53;14459
54;14459
55;14459
56;14326
57;14326
58;14149
59;14103
60;13871
61;13871
62;13775
63;13490
64;13427
65;13413
66;13318
67;13214
68;13146
69;12993
70;12933
71;12815
72;12815
73;12665
74;12628
75;12509
76;12509
77;12418
78;12364
79;12364
80;12335
81;12335
82;12300
83;12242
84;12232
85;12172
86;12172
87;12121
88;12118
89;12067
90;12067
91;12052
92;11929
93;11929
94;11929
95;11901
96;11886
97;11886
98;11873
99;11873
100;11845
101;11845
102;11825
103;11810
104;11785
105;11785
106;11784
107;11735
108;11707
109;11667
110;11617
111;11589
112;11504
113;11504
114;11494
115;11454
116;11449
117;11404
118;11392
119;11351
120;11350
121;11350
122;11263
123;11260
124;11249
125;11159
126;11159
127;11125
128;11125
129;11099
130;11099
131;11099
132;11099
133;11099
134;11082
135;11082
136;11052
137;11038
138;11027
139;11027
140;11023
141;10998
142;10971
143;10946
144;10904
145;10876
146;10872
147;10848
148;10824
149;10758
150;10758
151;10701
152;10686
153;10652
154;10641
155;10641
156;10641
157;10641
158;10641
159;10641
160;10641
161;10641
162;10641
163;10631
164;10631
165;10623
166;10509
167;10428
168;10428
169;10418
170;10410
171;10331
172;10331
173;10247
174;10247
175;10247
176;10247
177;10247
178;10237
179;10237
180;10203
181;10203
182;10203
183;10193
184;10193
185;10193
186;10179
187;10179
188;10179
189;10179
190;10179
191;10179
192;10179
193;10179
194;10179
195;10179
196;10179
197;10179
198;10179
199;10125
200;10100
201;10077
202;10077
203;10077
204;10077
205;10077
206;10077
207;10077
208;10053
209;10053
210;9978
211;9937
212;9937
213;9915
214;9911
215;9911
216;9911
217;9889
218;9887
219;9883
220;9861
221;9861
222;9861
223;9861
224;9861
225;9861
226;9861
227;9861
228;9861
229;9861
230;9861
231;9861
232;9861
233;9861
234;9861
235;9861
236;9861
237;9861
238;9861
239;9861
240;9861
241;9861
242;9861
243;9861
244;9861
245;9861
246;9861
247;9861
248;9861
249;9861
250;9861
251;9861
252;9796
253;9796
254;9796
255;9754
256;9754
257;9754
258;9754
259;9730
260;9730
261;9730
262;9730
263;9730
264;9721
265;9721
266;9656
267;9656
268;9656
269;9656
270;9656
271;9656
272;9656
273;9656
274;9656
275;9619
276;9619
277;9619
278;9619
279;9619
280;9619
281;9571
282;9571
283;9571
284;9571
285;9571
286;9571
287;9571
288;9571
289;9571
290;9571
291;9571
292;9571
293;9482
294;9482
295;9482
296;9482
297;9482
298;9482
299;9482
300;9471
301;9471
302;9466
303;9466
304;9466
305;9453
306;9453
307;9453
308;9453
309;9406
310;9406
311;9406
312;9328
313;9328
314;9300
315;9276
316;9263
317;9263
318;9248
319;9221
320;9221
321;9201
322;9187
323;9187
324;9187
325;9187
326;9187
327;9147
328;9147
329;9147
330;9147
331;9147
332;9147
333;9147
334;9147
335;9147
336;9147
337;9147
338;9147
339;9147
340;9147
341;9147
342;9147
343;9147
344;9147
345;9147
346;9147
347;9147
348;9147
349;9147
350;9147
351;9147
352;9147
353;9147
354;9147
355;9147
356;9147
357;9147
358;9147
359;9096
360;9096
361;9096
362;9083
363;9061
364;9061
365;9061
366;9061
367;9056
368;9056
369;9056
370;9056
371;9053
372;9031
373;9031
374;9031
375;9031
376;9031
377;9031
378;9031
379;8982
380;8982
381;8982
382;8982
383;8921
384;8921
385;8921
386;8921
387;8921
388;8921
389;8921
390;8921
391;8921
392;8921
393;8921
394;8921
395;8921
396;8921
397;8921
398;8921
399;8921
400;8921
401;8921
402;8921
403;8921
404;8921
405;8921
406;8921
407;8921
408;8921
409;8921
410;8921
411;8921
412;8921
413;8921
414;8921
415;8921
416;8921
417;8921
418;8921
419;8921
420;8919
421;8919
422;8919
423;8907
424;8907
425;8907
426;8907
427;8869
428;8869
429;8869
430;8867
431;8824
432;8824
433;8824
434;8822
435;8822
436;8822
437;8822
438;8754
439;8754
440;8754
441;8754
442;8754
443;8754
444;8754
445;8754
446;8754
447;8754
448;8754
449;8754
450;8754
451;8754
452;8744
453;8744
454;8744
455;8744
456;8739
457;8739
458;8739
459;8739
460;8739
461;8739
462;8739
463;8739
464;8739
465;8739
466;8739
467;8739
468;8739
469;8739
470;8739
471;8739
472;8739
473;8739
474;8739
475;8739
476;8739
477;8739
478;8739
479;8739
480;8739
481;8739
482;8739
483;8739
484;8739
485;8739
486;8739
487;8657
488;8657
489;8657
490;8657
491;8650
492;8650
493;8650
494;8650
495;8650
496;8650
497;8650
498;8650
499;8650
500;8650
501;8650
502;8650
503;8650
504;8650
505;8650
506;8650
507;8650
508;8650
509;8650
510;8650
511;8650
512;8650
513;8650
514;8631
515;8631
516;8487
517;8487
518;8487
519;8487
520;8487
521;8487
522;8487
523;8487
524;8487
525;8487
526;8487
527;8487
528;8487
529;8487
530;8487
531;8487
532;8487
533;8487
534;8487
535;8487
536;8487
537;8487
538;8487
539;8487
540;8487
541;8479
542;8479
543;8479
544;8479
545;8479
546;8479
547;8479
548;8479
549;8479
550;8479
551;8479
552;8479
553;8464
554;8464
555;8464
556;8464
557;8464
558;8464
559;8464
560;8464
561;8464
562;8464
563;8464
564;8464
565;8464
566;8464
567;8464
568;8464
569;8459
570;8459
571;8449
572;8449
573;8449
574;8449
575;8438
576;8438
577;8435
578;8435
579;8410
580;8410
581;8407
582;8394
583;8394
584;8394
585;8394
586;8394
587;8394
588;8394
589;8394
590;8394
591;8394
592;8394
593;8394
594;8394
595;8394
596;8394
597;8394
598;8394
599;8394
600;8394
601;8394
602;8394
603;8394
604;8394
605;8394
606;8394
607;8394
608;8394
609;8394
610;8394
611;8394
612;8394
613;8394
614;8394
615;8394
616;8394
617;8394
618;8394
619;8394
620;8394
621;8394
622;8394
623;8394
624;8394
625;8394
626;8394
627;8394
628;8394
629;8394
630;8394
631;8394
632;8394
633;8394
634;8394
635;8394
636;8394
637;8394
638;8394
639;8394
640;8394
641;8394
642;8394
643;8394
644;8394
645;8394
646;8394
647;8394
648;8394
649;8394
650;8394
651;8394
652;8394
653;8394
654;8394
655;8394
656;8394
657;8394
658;8394
659;8394
660;8394
661;8394
662;8394
663;8392
664;8392
665;8392
666;8390
667;8390
668;8390
669;8350
670;8344
671;8344
672;8344
673;8344
674;8342
675;8342
676;8342
677;8342
678;8342
679;8342
680;8342
681;8342
682;8342
683;8342
684;8342
685;8342
686;8342
687;8342
688;8342
689;8342
690;8342
691;8342
692;8342
693;8342
694;8342
695;8320
696;8320
697;8320
698;8320
699;8320
700;8320
701;8320
702;8320
703;8320
704;8320
705;8320
706;8258
707;8258
708;8258
709;8245
710;8245
711;8244
712;8244
713;8244
714;8244
715;8241
716;8241
717;8156
718;8156
719;8153
720;8153
721;8145
722;8145
723;8145
724;8145
725;8141
726;8141
727;8138
728;8138
729;8138
730;8138
731;8138
732;8138
733;8138
734;8138
735;8138
736;8138
737;8138
738;8138
739;8138
740;8138
741;8138
742;8138
743;8138
744;8138
745;8138
746;8138
747;8138
748;8138
749;8138
750;8138
751;8138
752;8138
753;8138
754;8138
755;8138
756;8138
757;8138
758;8138
759;8138
760;8138
761;8138
762;8138
763;8138
764;8138
765;8138
766;8138
767;8138
768;8138
769;8138
770;8138
771;8138
772;8138
773;8138
774;8138
775;8138
776;8138
777;8138
778;8138
779;8138
780;8138
781;8138
782;8138
783;8138
784;8138
785;8138
786;8138
787;8138
788;8138
789;8138
790;8138
791;8138
792;8138
793;8138
794;8138
795;8138
796;8138
797;8138
798;8138
799;8138
800;8138
801;8138
802;8138
803;8138
804;8138
805;8138
806;8138
807;8138
808;8138
809;8138
810;8138
811;8092
812;8092
813;8092
814;8092
815;8092
816;8092
817;8092
818;8092
819;8092
820;8092
821;8092
822;8092
823;8092
824;8092
825;8058
826;8058
827;8058
828;8058
829;8058
830;8058
831;8058
832;8058
833;8058
834;8058
835;8058
836;8058
837;8058
838;8058
839;8058
840;8058
841;8058
842;8058
843;8058
844;8058
845;8058
846;8058
847;8058
848;8058
849;8058
850;8058
851;8058
852;8058
853;8058
854;8058
855;8058
856;8058
857;8058
858;8058
859;8058
860;8058
861;8058
862;8058
863;8058
864;8058
865;8058
866;8058
867;8058
868;8058
869;8058
870;8058
871;8058
872;8058
873;8058
874;8058
875;8058
876;8058
877;8058
878;8058
879;8058
880;8058
881;8058
882;8058
883;8058
884;8058
885;8058
886;8058
887;8058
888;8058
889;8058
890;8058
891;8058
892;8058
893;8058
894;8058
895;8058
896;8058
897;8058
898;8058
899;8058
900;8058
901;8058
902;8058
903;8058
904;8058
905;8058
906;8058
907;8058
908;8058
909;8058
910;8058
911;8058
912;8058
913;8058
914;8058
915;8058
916;8058
917;8058
918;8058
919;8058
920;8058
921;8058
922;8058
923;8058
924;8058
925;8058
926;8058
927;8058
928;8058
929;8058
930;8058
931;8046
932;8043
933;8043
934;8043
935;8027
936;8027
937;8027
938;8027
939;8003
940;8003
941;7961
942;7956
943;7954
944;7953
945;7953
946;7953
947;7953
948;7953
949;7953
950;7953
951;7953
952;7953
953;7953
954;7953
955;7953
956;7953
957;7953
958;7953
959;7953
960;7953
961;7953
962;7953
963;7953
964;7953
965;7953
966;7953
967;7953
968;7953
969;7953
970;7953
971;7953
972;7953
973;7953
974;7953
975;7953
976;7953
977;7953
978;7953
979;7953
980;7953
981;7953
982;7953
983;7953
984;7953
985;7953
986;7953
987;7953
988;7953
989;7953
990;7953
991;7953
992;7953
993;7953
994;7953
995;7953
996;7953
997;7953
998;7953
999;7953
1000;7953
1001;7953
1002;7953
1003;7953
1004;7953
1005;7953
1006;7953
1007;7953
1008;7953
1009;7953
1010;7953
1011;7953
1012;7953
1013;7953
1014;7953
1015;7953
1016;7953
1017;7953
1018;7953
1019;7953
1020;7953
1021;7953
1022;7953
1023;7953
1024;7953
1025;7953
1026;7953
1027;7953
1028;7953
1029;7953
1030;7953
1031;7953
1032;7953
1033;7953
1034;7953
1035;7920
1036;7920
1037;7920
1038;7920
1039;7920
1040;7920
1041;7920
1042;7920
1043;7920
1044;7920
1045;7920
1046;7920
1047;7920
1048;7920
1049;7920
1050;7920
1051;7920
1052;7920
1053;7920
1054;7920
1055;7920
1056;7920
1057;7920
1058;7920
1059;7920
1060;7920
1061;7920
1062;7920
1063;7920
1064;7920
1065;7920
1066;7920
1067;7920
1068;7920
1069;7920
1070;7920
1071;7920
1072;7920
1073;7920
1074;7920
1075;7920
1076;7920
1077;7920
1078;7920
1079;7920
1080;7920
1081;7920
1082;7920
1083;7920
1084;7920
1085;7920
1086;7920
1087;7920
1088;7920
1089;7920
1090;7920
1091;7920
1092;7920
1093;7920
1094;7920
1095;7920
1096;7920
1097;7920
1098;7902
1099;7902
1100;7902
1101;7902
1102;7830
1103;7830
1104;7830
1105;7816
1106;7816
1107;7816
1108;7816
1109;7816
1110;7816
1111;7816
1112;7816
1113;7816
1114;7816
1115;7816
1116;7816
1117;7816
1118;7816
1119;7816
1120;7816
1121;7816
1122;7816
1123;7816
1124;7809
1125;7809
1126;7809
1127;7809
1128;7809
1129;7809
1130;7809
1131;7809
1132;7809
1133;7809
1134;7809
1135;7809
1136;7809
1137;7809
1138;7809
