generacja;koszt_scierzki
1;7288
2;7121
3;7111
4;7048
5;7016
6;6974
7;6909
8;6848
9;6790
10;6700
11;6694
12;6613
13;6613
14;6562
15;6547
16;6547
17;6547
18;6517
19;6502
20;6450
21;6366
22;6310
23;6310
24;6272
25;6272
26;6228
27;6178
28;6178
29;6123
30;6101
31;6094
32;6081
33;6023
34;6023
35;5994
36;5868
37;5868
38;5868
39;5868
40;5840
41;5755
42;5755
43;5744
44;5723
45;5702
46;5702
47;5664
48;5642
49;5595
50;5595
51;5532
52;5532
53;5529
54;5475
55;5475
56;5475
57;5434
58;5403
59;5351
60;5351
61;5326
62;5301
63;5301
64;5271
65;5246
66;5231
67;5215
68;5214
69;5193
70;5193
71;5164
72;5150
73;5126
74;5110
75;5108
76;5091
77;5026
78;5026
79;5026
80;5026
81;5023
82;5009
83;5009
84;4995
85;4983
86;4983
87;4964
88;4948
89;4917
90;4917
91;4917
92;4888
93;4888
94;4888
95;4854
96;4854
97;4853
98;4849
99;4844
100;4825
101;4810
102;4780
103;4780
104;4780
105;4768
106;4768
107;4725
108;4725
109;4725
110;4723
111;4717
112;4706
113;4703
114;4688
115;4688
116;4677
117;4656
118;4638
119;4638
120;4638
121;4624
122;4602
123;4602
124;4601
125;4590
126;4590
127;4590
128;4590
129;4588
130;4579
131;4579
132;4565
133;4565
134;4558
135;4553
136;4547
137;4537
138;4537
139;4513
140;4513
141;4507
142;4493
143;4493
144;4476
145;4467
146;4467
147;4467
148;4464
149;4444
150;4444
151;4435
152;4435
153;4421
154;4421
155;4406
156;4406
157;4396
158;4396
159;4396
160;4382
161;4374
162;4374
163;4374
164;4368
165;4358
166;4351
167;4351
168;4349
169;4337
170;4325
171;4325
172;4325
173;4321
174;4313
175;4306
176;4306
177;4300
178;4292
179;4291
180;4287
181;4280
182;4256
183;4254
184;4254
185;4245
186;4197
187;4197
188;4188
189;4187
190;4187
191;4187
192;4187
193;4187
194;4178
195;4177
196;4177
197;4176
198;4167
199;4167
200;4165
201;4158
202;4155
203;4152
204;4146
205;4137
206;4135
207;4126
208;4120
209;4119
210;4112
211;4112
212;4108
213;4103
214;4103
215;4089
216;4080
217;4062
218;4046
219;4046
220;4044
221;4040
222;4032
223;4026
224;4026
225;4025
226;4012
227;4012
228;4004
229;3996
230;3990
231;3990
232;3980
233;3980
234;3972
235;3959
236;3959
237;3959
238;3959
239;3959
240;3956
241;3954
242;3954
243;3948
244;3948
245;3948
246;3945
247;3940
248;3938
249;3935
250;3934
251;3925
252;3925
253;3925
254;3921
255;3921
256;3920
257;3920
258;3917
259;3912
260;3900
261;3900
262;3900
263;3900
264;3894
265;3892
266;3886
267;3886
268;3882
269;3870
270;3870
271;3870
272;3869
273;3863
274;3859
275;3850
276;3850
277;3849
278;3841
279;3839
280;3833
281;3833
282;3828
283;3828
284;3826
285;3819
286;3819
287;3807
288;3807
289;3806
290;3802
291;3802
292;3797
293;3797
294;3795
295;3785
296;3785
297;3785
298;3785
299;3785
300;3785
301;3776
302;3776
303;3776
304;3770
305;3770
306;3764
307;3764
308;3751
309;3741
310;3741
311;3741
312;3741
313;3741
314;3741
315;3741
316;3741
317;3741
318;3741
319;3739
320;3739
321;3739
322;3736
323;3729
324;3726
325;3726
326;3721
327;3710
328;3710
329;3710
330;3710
331;3707
332;3698
333;3690
334;3687
335;3687
336;3687
337;3683
338;3680
339;3679
340;3668
341;3660
342;3660
343;3660
344;3644
345;3644
346;3644
347;3644
348;3643
349;3643
350;3643
351;3643
352;3620
353;3620
354;3620
355;3620
356;3620
357;3620
358;3620
359;3619
360;3612
361;3612
362;3606
363;3600
364;3600
365;3600
366;3600
367;3591
368;3589
369;3589
370;3589
371;3589
372;3589
373;3589
374;3584
375;3584
376;3583
377;3580
378;3580
379;3574
380;3560
381;3560
382;3560
383;3560
384;3560
385;3560
386;3560
387;3553
388;3550
389;3543
390;3543
391;3543
392;3543
393;3542
394;3537
395;3537
396;3529
397;3529
