generacja;koszt_scierzki
1;5573
2;5496
3;5256
4;5023
5;5009
6;4824
7;4742
8;4352
9;4352
10;4352
11;4236
12;4213
13;3996
14;3932
15;3882
16;3797
17;3797
18;3631
19;3483
20;3483
21;3447
22;3355
23;3350
24;3326
25;3265
26;3216
27;3167
28;3107
29;3047
30;3047
31;2963
32;2825
33;2825
34;2816
35;2816
36;2739
37;2739
38;2688
39;2622
40;2545
41;2545
42;2534
43;2534
44;2461
45;2411
46;2411
47;2348
48;2298
49;2298
50;2268
51;2268
52;2268
53;2216
54;2216
55;2216
56;2175
57;2171
58;2170
59;2170
60;2170
61;2170
62;2133
63;2133
64;2133
65;2133
66;2105
67;2105
68;2099
69;2099
70;2099
71;2099
72;2099
73;2099
74;2099
75;2099
76;2099
77;2099
78;2099
79;2099
80;2099
81;2099
82;2099
83;2099
84;2099
85;2099
86;2099
87;2099
88;2099
89;2099
90;2099
91;2099
92;2099
93;2099
94;2099
95;2099
96;2099
97;2099
98;2099
99;2099
100;2099
101;2099
102;2099
103;2099
104;2099
105;2099
106;2099
107;2099
108;2099
109;2099
110;2099
111;2099
112;2099
113;2099
114;2099
115;2099
116;2099
117;2099
118;2099
119;2099
120;2099
121;2099
122;2099
123;2099
124;2099
125;2099
126;2099
127;2099
128;2099
129;2099
130;2099
131;2099
132;2099
133;2099
134;2099
135;2099
136;2099
137;2099
138;2099
139;2099
140;2099
141;2099
142;2099
143;2099
144;2099
145;2099
146;2099
147;2099
148;2099
149;2099
150;2099
151;2099
152;2099
153;2099
154;2099
155;2099
156;2099
157;2099
158;2099
159;2099
160;2099
161;2099
162;2099
163;2099
164;2099
165;2099
166;2099
167;2099
168;2099
169;2099
170;2099
171;2099
172;2099
173;2099
174;2099
175;2099
176;2099
177;2099
178;2099
179;2099
180;2099
181;2099
182;2099
183;2099
184;2099
185;2099
186;2099
187;2099
188;2099
189;2099
190;2099
191;2099
192;2099
193;2099
194;2099
195;2099
196;2099
197;2099
198;2099
199;2099
200;2099
201;2099
202;2099
203;2099
204;2099
205;2099
206;2099
207;2099
208;2099
209;2099
210;2099
211;2099
212;2099
213;2099
214;2099
215;2099
216;2099
217;2099
218;2099
219;2099
220;2099
221;2099
222;2099
223;2099
224;2099
225;2099
226;2099
227;2099
228;2099
229;2099
230;2099
231;2099
232;2099
233;2099
234;2099
235;2099
236;2099
237;2099
238;2099
239;2099
240;2099
241;2099
242;2099
243;2099
244;2099
245;2099
246;2099
247;2099
248;2099
249;2099
250;2099
251;2099
252;2099
253;2099
254;2099
255;2099
256;2099
257;2099
258;2099
259;2099
260;2099
261;2099
262;2099
263;2099
264;2099
265;2099
266;2099
267;2099
268;2099
269;2099
270;2099
271;2099
272;2099
273;2099
274;2099
275;2099
276;2099
277;2099
278;2099
279;2099
280;2099
281;2099
282;2099
283;2099
284;2099
285;2099
286;2099
287;2099
288;2099
289;2099
290;2099
291;2099
292;2099
293;2099
294;2099
295;2099
296;2099
297;2099
298;2099
299;2099
300;2099
301;2099
302;2099
303;2099
304;2099
305;2099
306;2099
307;2099
308;2099
309;2099
310;2099
311;2099
312;2099
313;2099
314;2099
315;2099
316;2099
317;2099
318;2099
319;2099
320;2099
321;2099
322;2099
323;2099
324;2099
325;2099
326;2099
327;2099
328;2099
329;2099
330;2099
331;2099
332;2099
333;2099
334;2099
335;2099
336;2099
337;2099
338;2099
339;2099
340;2099
341;2099
342;2099
343;2099
344;2099
345;2099
346;2099
347;2099
348;2099
349;2099
350;2099
351;2099
352;2099
353;2099
354;2099
355;2099
356;2099
357;2099
358;2099
359;2099
360;2099
361;2099
362;2099
363;2099
364;2092
365;2092
366;2092
367;2092
368;2092
369;2092
370;2092
371;2092
372;2092
373;2092
374;2092
375;2092
376;2092
377;2092
378;2092
