generacja;koszt_scierzki
1;23120
2;22701
3;22701
4;22215
5;21944
6;21716
7;21569
8;21011
9;20776
10;20485
11;20177
12;20177
13;20049
14;19860
15;19362
16;19362
17;19361
18;19074
19;19074
20;19074
21;18708
22;18708
23;18281
24;17869
25;17869
26;17741
27;17686
28;17633
29;17633
30;17633
31;17468
32;16879
33;16879
34;16865
35;16696
36;16653
37;16579
38;16579
39;16579
40;16426
41;16366
42;16338
43;16169
44;16086
45;15929
46;15791
47;15688
48;15688
49;15466
50;15401
51;15089
52;15089
53;15089
54;15089
55;15089
56;15070
57;15070
58;14773
59;14773
60;14501
61;14262
62;14262
63;14046
64;14046
65;13993
66;13888
67;13850
68;13673
69;13617
70;13610
71;13558
72;13314
73;13235
74;13235
75;13194
76;13194
77;13107
78;12904
79;12772
80;12772
81;12772
82;12650
83;12473
84;12473
85;12473
86;12473
87;12473
88;12309
89;12309
90;12309
91;12255
92;12255
93;12248
94;12248
95;12036
96;12036
97;12036
98;12036
99;12036
100;11818
101;11818
102;11818
103;11818
104;11818
105;11818
106;11818
107;11695
108;11497
109;11497
110;11497
111;11389
112;11389
113;11389
114;11348
115;11348
116;11348
117;11348
118;11348
119;11348
120;11348
121;11307
122;11307
123;11200
124;11200
125;11200
126;11200
127;11186
128;11044
129;11044
130;11044
131;10921
132;10917
133;10884
134;10854
135;10824
136;10812
137;10739
138;10731
139;10676
140;10676
141;10531
142;10531
143;10417
144;10354
145;10354
146;10354
147;10292
148;10086
149;10086
150;10073
151;10073
152;10001
153;9900
154;9900
155;9795
156;9795
157;9795
158;9746
159;9746
160;9594
161;9594
162;9410
163;9410
164;9352
165;9136
166;9136
167;9136
168;9136
169;9136
170;9050
171;9050
172;9050
173;9050
174;9050
175;9050
176;9002
177;8955
178;8892
179;8892
180;8821
181;8556
182;8556
183;8556
184;8556
185;8556
186;8556
187;8546
188;8393
189;8393
190;8393
191;8390
192;8322
193;8322
194;8322
195;8264
196;8264
197;8264
198;8181
199;8181
200;8181
201;8150
202;8145
203;8041
204;8041
205;7993
206;7979
207;7933
208;7933
209;7898
210;7860
211;7843
212;7823
213;7823
214;7782
215;7750
216;7737
217;7635
218;7635
219;7635
220;7608
221;7581
222;7519
223;7510
224;7505
225;7477
226;7452
227;7406
228;7390
229;7341
230;7341
231;7287
232;7287
233;7287
234;7241
235;7211
236;7211
237;7211
238;7187
239;7142
240;7142
241;7095
242;7095
243;7059
244;7054
245;7007
246;6959
247;6959
248;6959
249;6959
250;6912
251;6912
252;6883
253;6849
254;6846
255;6797
256;6777
257;6777
258;6743
259;6743
260;6707
261;6702
262;6696
263;6637
264;6637
265;6632
266;6618
267;6572
268;6572
269;6559
270;6536
271;6482
272;6482
273;6466
274;6457
275;6457
276;6457
277;6409
278;6409
279;6373
280;6365
281;6356
282;6344
283;6343
284;6313
285;6299
286;6287
287;6255
288;6244
289;6244
290;6239
291;6216
292;6193
293;6170
294;6170
295;6161
296;6134
297;6118
298;6095
299;6090
300;6052
301;6052
302;6046
303;6031
304;5972
305;5972
306;5972
307;5933
308;5915
309;5904
310;5884
311;5881
312;5862
313;5862
314;5846
315;5831
316;5831
317;5812
318;5812
319;5796
320;5795
