generacja;koszt_scierzki
1;7215
2;7136
3;6982
4;6982
5;6959
6;6957
7;6883
8;6803
9;6795
10;6742
11;6742
12;6650
13;6604
14;6578
15;6578
16;6556
17;6549
18;6400
19;6400
20;6374
21;6374
22;6327
23;6302
24;6302
25;6267
26;6239
27;6186
28;6142
29;6121
30;6121
31;6065
32;6065
33;6024
34;6018
35;6000
36;5998
37;5965
38;5965
39;5965
40;5931
41;5901
42;5901
43;5901
44;5886
45;5850
46;5846
47;5803
48;5803
49;5803
50;5786
51;5764
52;5764
53;5723
54;5723
55;5720
56;5686
57;5686
58;5686
59;5640
60;5639
61;5601
62;5598
63;5573
64;5571
65;5544
66;5535
67;5526
68;5464
69;5464
70;5454
71;5450
72;5438
73;5410
74;5410
75;5393
76;5393
77;5374
78;5355
79;5346
80;5315
81;5287
82;5287
83;5287
84;5287
85;5228
86;5228
87;5228
88;5228
89;5228
90;5228
91;5183
92;5183
93;5183
94;5183
95;5183
96;5182
97;5142
98;5142
99;5140
100;5131
101;5131
102;5094
103;5094
104;5094
105;5027
106;5027
107;5027
108;5024
109;5002
110;5002
111;4982
112;4982
113;4962
114;4962
115;4949
116;4924
117;4924
118;4912
119;4912
120;4895
121;4895
122;4895
123;4891
124;4862
125;4862
126;4852
127;4843
128;4843
129;4832
130;4813
131;4813
132;4813
133;4806
134;4806
135;4806
136;4806
137;4806
138;4805
139;4801
140;4801
141;4766
142;4766
143;4766
144;4766
145;4766
146;4766
147;4761
148;4761
149;4761
150;4729
151;4729
152;4729
153;4729
154;4714
155;4707
156;4695
157;4687
158;4673
159;4668
160;4668
161;4668
162;4645
163;4642
164;4611
165;4611
166;4611
167;4611
168;4596
169;4596
170;4594
171;4594
172;4589
173;4589
174;4572
175;4572
176;4570
177;4570
178;4570
179;4551
180;4546
181;4546
182;4537
183;4537
184;4537
185;4529
186;4529
187;4518
188;4518
189;4518
190;4518
191;4509
192;4497
193;4489
194;4489
195;4478
196;4468
197;4468
198;4460
199;4453
200;4453
201;4453
202;4453
203;4453
204;4453
205;4453
206;4453
207;4453
208;4432
209;4416
210;4411
211;4411
212;4411
213;4411
214;4411
215;4402
216;4395
217;4395
218;4376
219;4376
220;4370
221;4370
222;4365
223;4364
224;4364
225;4364
226;4364
227;4347
228;4308
229;4308
230;4308
231;4308
232;4308
233;4308
234;4308
235;4305
236;4296
237;4296
238;4296
239;4296
240;4279
241;4261
242;4261
243;4261
244;4261
245;4261
246;4256
247;4256
248;4246
249;4243
250;4243
251;4243
252;4241
253;4239
254;4227
255;4227
256;4227
257;4220
258;4220
259;4216
260;4216
261;4216
262;4208
263;4206
264;4206
265;4181
266;4180
267;4180
268;4180
269;4172
270;4172
271;4169
272;4169
273;4166
274;4161
275;4156
276;4140
277;4140
278;4140
279;4140
280;4139
281;4126
282;4126
283;4126
284;4126
285;4125
286;4119
287;4117
288;4105
289;4101
290;4099
291;4096
292;4096
293;4095
294;4091
295;4085
296;4085
297;4072
298;4072
299;4072
300;4070
301;4070
302;4070
303;4067
304;4067
305;4067
306;4063
307;4048
308;4048
309;4048
310;4048
311;4043
312;4041
313;4041
314;4041
315;4038
316;4025
317;4025
318;4025
319;4025
320;4025
321;4025
322;4011
323;4011
324;4007
325;4007
326;4001
327;4001
328;3982
329;3982
330;3982
331;3982
332;3982
333;3982
334;3982
335;3982
336;3973
337;3973
338;3973
339;3972
340;3967
341;3967
342;3959
343;3959
344;3957
345;3948
346;3946
347;3943
348;3943
349;3938
350;3934
351;3934
352;3934
353;3933
354;3916
355;3910
356;3910
357;3895
358;3888
359;3888
360;3888
361;3888
362;3888
363;3888
364;3888
365;3888
366;3888
367;3888
368;3881
369;3881
370;3881
371;3876
372;3862
373;3862
374;3860
375;3852
376;3852
377;3852
378;3848
379;3848
380;3847
381;3832
382;3832
383;3832
384;3832
385;3832
386;3832
387;3832
388;3832
389;3832
390;3832
391;3826
392;3821
393;3816
394;3816
395;3816
396;3816
397;3813
398;3813
399;3813
400;3793
401;3793
402;3792
403;3792
404;3792
405;3792
406;3792
407;3792
408;3792
409;3786
410;3786
411;3783
412;3783
413;3783
414;3781
415;3774
416;3774
417;3756
418;3750
419;3750
420;3750
421;3750
422;3750
423;3750
424;3750
425;3750
426;3750
427;3750
428;3746
429;3746
430;3746
431;3746
432;3746
433;3742
434;3742
435;3736
436;3731
437;3731
438;3731
439;3730
440;3728
441;3728
442;3711
443;3711
444;3711
445;3711
446;3709
447;3709
448;3709
449;3709
450;3709
451;3709
452;3704
453;3704
454;3704
455;3704
456;3701
457;3701
458;3701
459;3698
460;3698
461;3698
462;3698
463;3693
464;3693
465;3693
466;3693
467;3686
468;3686
469;3686
470;3683
471;3666
472;3666
473;3666
474;3666
475;3666
476;3666
477;3666
478;3665
479;3665
480;3665
481;3665
482;3665
483;3648
484;3648
485;3648
486;3648
487;3648
488;3648
489;3648
490;3648
491;3648
492;3648
493;3633
494;3633
495;3633
496;3633
497;3633
498;3633
499;3633
500;3633
501;3633
502;3633
503;3633
504;3633
505;3633
506;3633
507;3633
508;3633
509;3633
510;3627
511;3627
512;3627
513;3627
514;3627
515;3627
516;3626
517;3625
518;3625
519;3625
520;3625
521;3624
522;3624
523;3624
524;3624
525;3623
526;3619
527;3619
528;3617
529;3617
530;3617
531;3617
532;3617
533;3615
534;3614
535;3613
536;3610
537;3610
538;3610
539;3599
540;3599
541;3599
542;3599
543;3599
544;3599
545;3599
546;3599
547;3599
548;3599
549;3599
550;3599
551;3599
552;3599
553;3598
554;3598
555;3598
556;3598
557;3593
558;3593
559;3593
560;3593
561;3590
562;3586
563;3586
564;3585
565;3585
566;3582
567;3582
568;3582
569;3579
570;3579
571;3575
572;3575
573;3571
574;3571
575;3571
576;3571
577;3571
578;3571
579;3571
580;3571
581;3571
582;3571
583;3571
584;3571
585;3571
586;3571
587;3571
588;3571
589;3571
590;3571
591;3571
592;3560
593;3560
594;3557
595;3557
596;3556
597;3556
598;3556
599;3556
600;3556
601;3556
602;3556
603;3553
604;3550
605;3550
606;3550
607;3550
608;3550
609;3550
610;3550
611;3548
612;3548
613;3548
614;3543
615;3543
616;3543
617;3543
618;3536
619;3536
620;3536
621;3527
622;3527
623;3527
624;3527
625;3527
626;3526
627;3522
628;3522
629;3522
630;3520
631;3520
632;3519
633;3514
634;3511
635;3511
636;3509
637;3509
638;3484
639;3484
640;3484
641;3484
642;3484
643;3484
644;3484
645;3484
646;3484
647;3484
648;3484
649;3484
650;3484
651;3484
652;3484
653;3484
654;3484
655;3484
656;3484
657;3484
658;3484
659;3484
660;3477
661;3477
662;3477
663;3474
664;3474
665;3474
666;3471
667;3471
668;3471
669;3471
670;3471
671;3471
672;3465
673;3465
674;3465
675;3465
676;3465
677;3465
678;3458
679;3458
680;3455
681;3450
682;3447
683;3447
684;3447
685;3447
686;3438
687;3438
688;3438
689;3438
690;3438
691;3438
692;3438
693;3438
694;3438
695;3434
696;3432
697;3432
698;3431
699;3431
700;3431
701;3431
702;3430
703;3430
704;3430
705;3425
706;3417
707;3417
708;3417
709;3417
710;3417
711;3417
712;3417
713;3417
714;3417
715;3417
716;3417
717;3414
718;3412
719;3412
720;3411
721;3411
722;3411
723;3411
724;3411
725;3411
726;3409
727;3409
728;3409
729;3409
730;3404
731;3404
732;3404
733;3398
734;3397
735;3397
736;3397
737;3397
738;3397
739;3397
740;3397
741;3397
742;3397
743;3386
744;3386
745;3386
746;3386
747;3386
748;3386
749;3386
750;3385
751;3379
752;3379
753;3379
754;3379
755;3379
756;3379
757;3379
758;3379
759;3367
760;3367
761;3367
762;3367
763;3363
764;3363
765;3363
766;3363
767;3363
768;3363
769;3363
770;3354
771;3354
772;3354
773;3351
774;3351
775;3349
776;3349
777;3349
778;3346
779;3346
780;3346
781;3346
782;3346
783;3339
784;3339
785;3339
786;3339
787;3339
788;3339
789;3339
790;3334
791;3334
792;3331
793;3331
794;3331
795;3331
796;3330
797;3330
798;3330
799;3330
800;3330
801;3330
802;3330
803;3327
804;3327
805;3326
806;3324
807;3324
808;3315
809;3315
810;3315
811;3315
812;3315
813;3315
814;3315
815;3315
816;3315
817;3314
818;3314
819;3314
820;3314
821;3314
822;3311
823;3305
824;3305
825;3305
826;3305
827;3299
828;3299
829;3297
830;3297
831;3297
832;3289
833;3289
834;3289
835;3289
836;3289
837;3288
838;3288
839;3285
840;3285
841;3285
842;3285
843;3285
844;3285
845;3285
846;3284
847;3279
848;3279
849;3279
850;3279
851;3278
852;3275
853;3275
854;3275
855;3275
856;3270
857;3270
858;3267
859;3267
860;3267
861;3267
862;3267
863;3267
864;3267
865;3267
866;3260
867;3260
868;3260
869;3260
870;3260
871;3260
872;3260
873;3260
874;3260
875;3254
876;3253
877;3253
878;3252
879;3252
880;3252
881;3252
882;3252
883;3251
884;3246
885;3246
886;3226
887;3226
888;3226
889;3226
890;3226
891;3226
892;3226
893;3226
894;3225
895;3225
896;3225
897;3225
898;3225
899;3225
900;3225
901;3225
902;3225
903;3220
904;3220
905;3220
906;3220
907;3220
908;3212
909;3210
910;3210
911;3207
912;3207
913;3200
914;3200
915;3200
916;3200
917;3200
918;3200
919;3200
920;3200
921;3199
922;3199
923;3199
924;3199
925;3195
926;3191
927;3191
928;3191
929;3191
930;3189
931;3189
932;3189
933;3189
934;3189
935;3189
936;3189
937;3189
938;3189
939;3189
940;3189
941;3188
942;3188
943;3188
944;3188
945;3188
946;3188
947;3188
948;3188
949;3188
950;3188
951;3179
952;3179
953;3179
954;3179
955;3179
956;3179
957;3179
958;3179
959;3179
960;3179
961;3179
962;3179
963;3179
964;3179
965;3179
966;3179
967;3172
968;3172
969;3172
970;3172
971;3172
972;3172
973;3172
974;3172
975;3172
976;3172
977;3172
978;3172
979;3172
980;3172
981;3172
982;3172
983;3160
984;3160
985;3160
986;3160
987;3160
988;3160
989;3160
990;3160
991;3160
992;3160
993;3160
994;3160
995;3160
996;3160
997;3160
998;3160
999;3160
1000;3160
1001;3160
1002;3160
1003;3160
1004;3160
1005;3160
1006;3160
1007;3160
1008;3160
1009;3160
1010;3160
1011;3160
1012;3160
1013;3160
1014;3160
1015;3160
1016;3160
1017;3159
1018;3159
1019;3159
1020;3159
1021;3159
1022;3159
1023;3159
1024;3159
1025;3159
1026;3158
1027;3156
1028;3154
1029;3154
1030;3154
1031;3153
1032;3153
1033;3153
1034;3145
1035;3144
1036;3144
1037;3144
1038;3144
1039;3141
